Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Status
B618-57,6,484630,1.2380578998411158e-05,1.0125662876833983,Disco
B2614-157W1,6,484630,1.2380578998411158e-05,1.0125786682623967,Active
B2614-54W1,6,484630,1.2380578998411158e-05,1.0125910488413952,Active
M00504US,6,484630,1.2380578998411158e-05,1.0126034294203936,Active
EB2444-231,6,484630,1.2380578998411158e-05,1.012615809999392,Active
T246-13,6,484630,1.2380578998411158e-05,1.0126281905783905,Disco
T5827-2,6,484630,1.2380578998411158e-05,1.012640571157389,Active
T5827-22,6,484630,1.2380578998411158e-05,1.0126529517363874,Active
R407280,6,484630,1.2380578998411158e-05,1.0126653323153858,Active
B2614-48W1,6,484630,1.2380578998411158e-05,1.0126777128943842,Active
R407702,6,484630,1.2380578998411158e-05,1.0126900934733827,Active
D5168-25,6,484630,1.2380578998411158e-05,1.0127024740523811,Unavailable
A2000723,6,484630,1.2380578998411158e-05,1.0127148546313796,Unavailable
A2000724,6,484630,1.2380578998411158e-05,1.012727235210378,Unavailable
T5168-3,6,484630,1.2380578998411158e-05,1.0127396157893764,Disco
A4000582,6,484630,1.2380578998411158e-05,1.0127519963683749,Unavailable
A8010412,6,484630,1.2380578998411158e-05,1.0127643769473733,Active
A2000835,6,484630,1.2380578998411158e-05,1.0127767575263718,Active
R407911,6,484630,1.2380578998411158e-05,1.0127891381053702,New
A8010401,6,484630,1.2380578998411158e-05,1.0128015186843686,Active
L204194,6,484630,1.2380578998411158e-05,1.012813899263367,Unavailable
A2000718,6,484630,1.2380578998411158e-05,1.0128262798423655,Unavailable
A8010384,6,484630,1.2380578998411158e-05,1.012838660421364,Active
M20441US,6,484630,1.2380578998411158e-05,1.0128510410003624,Active
A2900032,6,484630,1.2380578998411158e-05,1.0128634215793608,Active
M20531W2,6,484630,1.2380578998411158e-05,1.0128758021583593,Active
P428-835,5,484630,1.0317149165342633e-05,1.0128861193075247,Active
B858-97,5,484630,1.0317149165342633e-05,1.0128964364566901,Active
B697-94,5,484630,1.0317149165342633e-05,1.0129067536058556,Active
EB9630-253,5,484630,1.0317149165342633e-05,1.012917070755021,Active
M1X1122,5,484630,1.0317149165342633e-05,1.0129273879041865,Active
M33021US,5,484630,1.0317149165342633e-05,1.012937705053352,New
B821-31,5,484630,1.0317149165342633e-05,1.0129480222025173,Unavailable
B821-36,5,484630,1.0317149165342633e-05,1.0129583393516828,Unavailable
B821-58,5,484630,1.0317149165342633e-05,1.0129686565008482,Unavailable
EB9630-55,5,484630,1.0317149165342633e-05,1.0129789736500137,Active
B735-97,5,484630,1.0317149165342633e-05,1.012989290799179,Disco
B735-82,5,484630,1.0317149165342633e-05,1.0129996079483445,Disco
R407811,5,484630,1.0317149165342633e-05,1.01300992509751,Active
D589-60,5,484630,1.0317149165342633e-05,1.0130202422466754,Active
T551-8,5,484630,1.0317149165342633e-05,1.0130305593958409,Active
