Sequence,Item Number,Actual Qty,Unavailable Qty,Status,Warehouse,Location Id,Type,Fifo Date,Expiration Date,Reserved For,Lot Number,Inspection Code,Serial Number,Type1,Put Away Location,Owner Id,Pod Status
0,L177984,29,0,A,335,A3015DN4,I,46043,1,,,,,STORAGE,,,
0,L177984,11,0,A,335,A3015DT4,I,46088,1,,,,,STORAGE,,,
0,L177984,11,0,A,335,A3015KM1,P,46065,1,,,,,STORAGE,,,
0,L177994,90,0,A,335,A3012FX4,I,46087,1,,,,,STORAGE,,,
0,L177994,30,0,A,335,A3016DY5,I,46087,1,,,,,STORAGE,,,
0,L177994,30,0,A,335,A3016ER4,I,46094,1,,,,,STORAGE,,,
0,L177994,30,0,A,335,A3016ET3,I,46094,1,,,,,STORAGE,,,
0,L177994,11,0,A,335,A3016EU1,P,46109,1,,,,,STORAGE,,,
0,L178034,96,0,A,335,A3011EJ5,I,45914,1,,,,,STORAGE,,,
0,L178034,70,0,A,335,A3011HS1,P,45908,1,,,,,STORAGE,,,
0,L178034,24,0,A,335,A3014CD3,I,45914,1,,,,,STORAGE,,,
0,L180024,114,0,A,335,A3013KA1,P,45993,1,,,,,STORAGE,,,
0,L180024,40,0,A,335,A3017QQ2,I,45993,1,,,,,STORAGE,,,
0,L180094,144,0,A,335,A3012FP2,I,46109,1,,,,,STORAGE,,,
0,L180094,144,0,A,335,A3012HD3,I,46109,1,,,,,STORAGE,,,
0,L180094,84,0,A,335,A3012HY3,I,46109,1,,,,,STORAGE,,,
0,L180094,144,0,A,335,A3013CR2,I,46109,1,,,,,STORAGE,,,
0,L180094,48,0,A,335,A3014DN1,P,46109,1,,,,,STORAGE,,,
0,L180094,1,0,A,335,EX001AA1,Z,46109,1,,,,,STORAGE,,,
0,L200204,48,0,A,335,A3014FA3,I,46116,1,,,,,STORAGE,,,
0,L200204,31,0,A,335,A3014FZ1,P,46024,1,,,,,STORAGE,,,
0,L200204,6,0,A,335,A3016HC2,I,46084,1,,,,,STORAGE,,,
0,L200204,1,0,A,335,EX001AA1,Z,46116,1,,,,,STORAGE,,,
0,L204024,66,0,A,335,A3011DW1,P,45874,1,,,,,STORAGE,,,
0,L204054,24,0,A,335,A3017CY4,I,46109,1,,,,,STORAGE,,,
0,L204054,15,0,A,335,A3017EA4,I,46109,1,,,,,STORAGE,,,
0,L204054,3,0,A,335,A3017LT4,I,46015,1,,,,,STORAGE,,,
0,L204064,19,0,A,335,A3016FA1,P,46094,1,,,,,STORAGE,,,
0,L204074,2,0,A,335,A3014FJ1,P,46087,1,,,,,STORAGE,,,
0,L204074,28,0,A,335,A3016DZ5,I,46087,1,,,,,STORAGE,,,
0,L204074,28,0,A,335,A3016EF4,I,46087,1,,,,,STORAGE,,,
